ID,Item,Amount,Prize,Customer
10785,Lenna Purdy,3,74.2930180486292,117
10786,Dakota Aimonetti,5,63.7901140097529,409
10787,Alan Osinski,3,57.8090936574154,115
10788,Fermin Bode,3,32.2605112357996,26
10789,Sonny Crooks,8,41.5071288170293,109
10790,Wiley Hoppe,2,73.676464445889,141
10791,Voncile Baumbach,7,65.1769140339456,17
10792,Emerson Mann,9,83.38434754638,242
10793,Alethea Mann,9,50.9661198523827,14
10794,Maritza Stehr,8,25.9307548240758,393
10795,Frederic West,2,46.9336799462326,497
10796,Keri D'Amore,1,52.8782884101383,517
10797,Vicente Waters,4,25.5624447157606,36
10798,Stephen Reichert,4,18.1211692164652,92
10799,Janel Stokes,7,47.973022821825,16
10800,Allen Jewess,1,24.2185013205744,327
10801,Edmundo Cummings,1,33.1817050673999,115
10802,Jed Eichmann,1,52.3306892043911,129
10803,Hobert Botsford,2,49.2443986330181,237
10804,Jermaine D'Amore,6,93.9766037208028,1
10805,Christia Howell,2,16.2841389933601,210
10806,Zachary Stanton,1,54.3230975954793,252
10807,Vernon Hilpert,1,25.5524997343309,185
10808,Bart Gusikowski,4,85.827998900786,551
10809,Ward Kutch,4,84.4862437690608,396
10810,Larry Graham,9,38.7108303233981,395
10811,Nina Glover,10,40.9454000275582,521
10812,Tora Bechtelar,5,58.4335040580481,356
10813,Brooke Bruen,10,51.565872495994,492
10814,Bryanna Johns,6,91.2102926173247,435
10815,Palmer Breitenberg,2,22.2654068213888,322
10816,Rickie Johnson,7,76.3583627226762,524
10817,Rico Quitzon,1,27.4149020412005,477
10818,Brendon Mosciski,3,42.3898324044421,405
10819,Laure Kunze,7,83.719181988854,104
10820,Frederick Koelpin,1,13.7104964116588,54
10821,Ethelene Reichert,7,63.9676090655848,493
10822,Clemente Kirlin,5,64.131416096352,571
10823,Irish Schmeler,6,40.1771155372262,384
10824,Andrew Cole,2,32.9742792621255,489
10825,Justin Crooks,9,92.1952169085853,371
10826,Yuette Gislason,1,16.7768559698015,262
10827,Hector Willms,2,75.2071751258336,550
10828,Allan Schmidt,8,68.5457655391656,516
10829,Malcolm Wunsch,2,47.0277667674236,439
10830,Young Von,7,77.2873327182606,343
10831,Stephania Lang,8,58.8745890767314,143
10832,Nelly Hand,9,87.1912887133658,491
10833,Damion D'Amore,6,67.463002204895,207
10834,Gertha Hermann,6,16.7134745954536,435
10835,Riley Jacobson,9,74.1200927854516,63
10836,Michell Schowalter,5,27.5670314254239,509
10837,Heidy Bruen,6,21.6163185890764,331
10838,Alfredo Emard,9,78.000267164316,219
10839,Cheryl Hegmann,3,39.0583277260885,347
10840,Torri Aimonetti,1,44.7875271458179,499
10841,Efren Yost,6,81.1254680808634,54
10842,Joesph Gleason,9,21.6785477451049,299
10843,Edwina Bergstrom,5,80.2090280456468,312
10844,Hae Daniel,4,60.5370373744518,311
10845,Chas Ortiz,6,96.9804021366872,254
10846,Brant Schoen,7,89.3756484496407,97
10847,Stefan Koelpin,2,48.0537785193883,122
10848,Fletcher Gusikowski,10,91.59668992972,95
10849,Wilbert Muller,2,13.5640606866218,296
10850,Cyrstal Bode,2,98.6344314413145,386
10851,Marilynn Rau,6,61.2236822326668,362
10852,Malcom Cassin,9,39.205751363188,389
10853,Brandon Kilback,6,41.0447939974256,161
10854,Victor McClure,5,47.5786314997822,171
10855,Alexander Bradtke,4,93.7021048367023,275
10856,Chance Sawayn,7,62.5651689758524,138
10857,Lyndon Mayert,1,28.9514831337146,362
10858,Dudley Bayer,2,93.927052821964,340
10859,Arleen Gleichner,10,52.9515119618736,274
10860,Daryl Douglas,6,30.7590513862669,444
10861,Elizabeth Cruickshank,2,58.490006509237,542
10862,Toi Barton,5,45.9664131817408,375
10863,Ethel Kuhic,7,65.0770949758589,162
10864,Rodrick Hayes,7,21.9549565925263,515
10865,Leisa Braun,5,68.4801685553975,192
10866,Wilfred Erdman,10,74.2767881066538,169
10867,Senaida Aimonetti,9,36.4686145843007,509
10868,Basilia Kessler,4,21.1111894180067,559
10869,Ernestine Moore,3,22.4609493929893,382
10870,Asha Schowalter,5,85.5783950863406,307
10871,Merrill Heidenreich,4,80.515042822808,394
10872,Hugh Reichel,9,36.9556978112087,564
10873,Tonda Bartoletti,7,65.7904328848235,258
10874,Brian Beahan,8,99.5728752296418,249
10875,Sal Gusikowski,10,69.0173779940233,445
10876,Oma Cremin,3,54.1428430494852,283
10877,Tory Shanahan,8,95.6129767349921,349
10878,Nancy Powlowski,4,61.139214860741,312
10879,Chas Hand,8,66.8892525509,304
10880,Macy Adams,1,90.0574420718476,61
10881,Nelle Jerde,2,25.826517350506,340
10882,Nakesha Bednar,5,35.2752499002963,506
10883,Bennie Cassin,4,82.9177464637905,420
10884,Morgan Goldner,1,88.2902387389913,382
10885,Gracia Lind,4,90.6447231350467,374
10886,Ardath Padberg,10,62.0442689396441,188
10887,Katina Roob,4,31.9292079424486,322
10888,Rusty Schinner,9,43.3494426775724,331
10889,Sean Schoen,2,94.0449196263216,498
10890,Winford Zulauf,2,25.9420564793982,125
10891,Jamika Murazik,8,79.9492287775502,247
10892,Elvis Yost,10,39.5109365833923,567
10893,Ismael Olson,8,51.7228045850061,75
10894,Candance Strosin,9,31.8003068026155,60
10895,Markus Huel,7,16.2468129117042,33
10896,Aubrey Marvin,9,37.0453046518378,411
10897,Benjamin Dickens,6,14.7255583805963,534
10898,Melodee Dickinson,6,43.9325444819406,405
10899,Ralph Kirlin,8,51.524298612494,104
10900,Gabriela Mann,7,70.2724506682716,343
10901,Cinda Mante,8,14.259481523186,122
10902,Chu Rolfson,4,91.4657402108423,445
10903,Milda Hegmann,6,57.3334153089672,174
10904,Lakia Runolfsson,10,61.0484769870527,458
10905,Kris Hoeger,10,19.5261835353449,345
10906,Raeann Hegmann,3,78.8935606577434,307
10907,Thersa Robel,3,16.3995517021976,36
10908,Rudy Kilback,6,97.9176025325432,327
10909,Dillon Durgan,6,38.3940613549203,286
10910,Sol Thompson,8,49.1276521119289,484
10911,Britany Huels,4,45.249291472137,105
10912,Rod Erdman,9,82.3224253114313,524
10913,Gerardo Hagenes,8,32.022616059985,280
10914,Tom Jakubowski,1,81.7853460018523,29
10915,Grace Turcotte,6,88.0414144834504,221
10916,Isaiah Farrell,6,42.4849348398857,138
10917,Alfonzo Adams,2,33.6926787090488,262
10918,Gaylene Walker,5,41.164300176315,546
10919,Drew Trantow,9,54.7525208932348,186
10920,Aimee Williamson,8,18.3803698699921,237
10921,Harrison Konopelski,3,91.5573649527505,364
10922,Wes Franecki,10,23.9516164944507,446
10923,Heriberto Conroy,3,50.9038341813721,458
10924,Fritz Kessler,9,83.0117390095256,137
10925,Melisa Feeney,1,54.5579277607612,84
10926,Catina Heidenreich,2,84.0924515016377,433
10927,Millard Bogan,6,21.4254728797823,496
10928,Susannah Greenholt,1,37.1083439188078,371
10929,Gilma Auer,1,45.6626628176309,566
10930,Cortez Brakus,1,51.4946595951915,450
10931,Nickolas Murphy,4,70.320919631049,27
10932,Isaias Prosacco,8,60.352228898555,434
10933,Zula Stamm,1,11.2261550244875,156
10934,Cedrick Russel,1,40.9369564754888,21
10935,Eli Thiel,9,54.9468642869033,18
10936,Stephany Ortiz,7,71.7565609421581,372
10937,Brandon Willms,9,86.8618966196664,393
10938,Marceline Daugherty,9,17.6044447300956,394
10939,Lilli Gulgowski,9,76.5079054934904,253
10940,Art Feil,7,13.7321083317511,573
10941,Chadwick Johnston,6,19.3434136221185,305
10942,Anette Davis,4,56.2041766894981,138
10943,Gail Fahey,8,78.0487788747996,421
10944,Lue DuBuque,2,73.2672419329174,83
10945,Ignacio West,4,84.2806284758262,315
10946,Darryl Yost,2,60.1495093223639,136
10947,Florinda Kohler,9,35.2595047047362,180
10948,Jarred Kozey,3,61.0514665814117,370
10949,Tawnya Will,4,98.5238331719302,515
10950,Joesph Cormier,1,89.5297490688972,41
10951,Clarence Cruickshank,1,70.0226407847367,480
10952,Marine Dach,8,29.7431868710555,63
10953,Billie Pacocha,2,72.7314527030103,554
10954,Janeen Wintheiser,6,79.2112481361255,470
10955,Sherie Zieme,8,68.9682993106544,127
10956,Winston Dibbert,4,10.0195766473189,512
10957,Shayla Konopelski,1,32.0452232472599,68
10958,Bobbi Rau,5,29.0525211719796,183
10959,Dannielle Kling,5,14.6272145793773,20
10960,Claudia Waelchi,10,83.9203196275048,552
10961,Linwood Jenkins,6,56.0271125473082,349
10962,Selma Okuneva,8,23.8983035250567,247
10963,Augustus Larson,10,37.7612181100994,222
10964,Glenn Sawayn,3,53.7227584072389,127
10965,Annemarie Kutch,2,37.2484849393368,437
10966,Ouida McDermott,8,86.0287139029242,439
10967,Anna Mraz,1,29.1307339258492,155
10968,Audrey Schowalter,8,18.8529318897054,186
10969,Loan VonRueden,9,67.1215355815366,157
10970,Germaine Hudson,8,70.0767955067568,178
10971,Bryon Langosh,7,60.8003277471289,249
10972,Trent Abernathy,5,90.3721648291685,521
10973,Emanuel Davis,1,38.439328786917,437
10974,Lena Trantow,5,21.85022366466,482
10975,Tressie Stamm,10,69.6704199491069,237
10976,Carlo Hoeger,7,87.0045823859982,274
10977,Cody Walker,7,52.2587546845898,147
10978,Odilia Schuppe,9,22.0328686665744,210
10979,Sid Denesik,3,86.6003711614758,81
10980,Mavis Miller,10,55.8661455148831,49
10981,Freida Kuhlman,8,21.6283885505982,253
10982,Wes Rosenbaum,4,91.3732485077344,65
10983,Karl Emard,7,81.6719232616015,34
10984,Stephany Haag,1,24.1758280876093,415
10985,Alla Stark,4,27.358134931419,461
10986,Gertrudis Bartell,10,73.9402973791584,436
10987,Jess Rice,3,40.8128094882704,504
10988,Manual Watsica,6,35.4062253097072,575
10989,Leigh VonRueden,5,77.5230929604732,464
10990,Zula Reilly,4,20.0587970926426,84
10991,Toney Olson,1,39.4396116794087,60
10992,Syreeta Barton,7,88.3205746277235,157
10993,Alishia Kassulke,7,53.1422377470881,327
10994,Amberly Prohaska,3,43.7305273301899,523
10995,Fern Greenfelder,1,25.1975429826416,395
10996,Rudy Abernathy,2,69.3575972225517,462
10997,Sharyl Konopelski,8,65.9997267858125,14
10998,Preston Lind,10,11.2992303003557,372
10999,Rogelio Lind,5,87.2528011538088,115
11000,Elenore Harvey,7,94.741994170472,310
11001,Leonila VonRueden,6,27.5173063925467,186
11002,Donette Reinger,7,19.6158239454962,521
11003,Hollie Lockman,4,66.722249018494,358
11004,Perry Gleichner,9,39.8850967781618,321
11005,Gennie Ferry,8,62.9311660141684,2
11006,Jamie Considine,4,44.4152320921421,439
11007,Wilbur Abbott,4,52.6399104786105,356
11008,Evon Rau,3,54.893367649056,515
11009,Stephania Schuppe,3,25.1792045519687,245
11010,Gillian Schneider,1,19.9249807209708,228
11011,Catheryn Stamm,2,97.8303841152228,316
11012,Alonso Morissette,6,71.1004005838186,113
11013,Lauran Fahey,7,23.2899704948068,146
11014,Lucina Cronin,3,63.396521860268,171
11015,Alejandro Brakus,7,97.5053643784486,361
11016,Jettie Sawayn,4,35.5797261581756,402
11017,Jan Cassin,10,19.2457608459517,508
11018,Luther Frami,5,57.447207942605,8
11019,Warren Romaguera,2,57.9714758903719,270
11020,Ignacio Bogisich,6,56.0629846411757,461
11021,Jeanett Reinger,3,54.5551208709367,76
11022,Joette Rath,4,96.4725577109493,563
11023,Josh Cole,3,34.9141190177761,554
11024,Johnathan Glover,3,30.4401473584585,447
11025,Jazmin Wiegand,1,27.9706193506718,536
11026,Alvina Keebler,1,51.9116157549433,161
11027,Junie Abshire,3,88.6239098152146,471
11028,Lory Effertz,7,65.5252051190473,242
11029,Micha Streich,4,64.3664585333318,541
11030,Claude Batz,2,70.9102494618855,565
11031,Jermaine Cormier,8,14.4879866205156,283
11032,Shirely Bednar,1,48.7974988366477,147
11033,Ernest Hilpert,9,17.7699571009725,489
11034,Anh Schmeler,10,37.632300038822,277
11035,Ehtel Sipes,4,45.1926639839076,513
11036,Jamey Kulas,2,97.900127437897,190
11037,Elmer Koss,3,16.0775554226711,97
11038,Jordan Fadel,5,28.2869940972887,399
11039,Cory Kulas,8,59.7064121230505,458
11040,Tish Bartell,10,12.8177273320034,299
11041,Susanna Hilpert,8,82.8921973332763,562
11042,Bebe Daugherty,6,86.3681362848729,195
11043,Kyle Satterfield,5,96.5852730814368,241
11044,Travis Ledner,2,58.8623838732019,243
11045,Susie Kiehn,1,15.0560004753061,543
11046,Tequila Little,4,65.02967314329,108
11047,Carlita Harvey,6,92.9911547643133,59
11048,Samual Schamberger,9,86.5920741250739,78
11049,Robbin Cronin,8,46.6127496771514,511
11050,Alan Pouros,9,20.5102896271273,328
11051,Vance Stehr,9,50.9233014658093,201
11052,Roxana Cummings,5,23.6558623402379,157
11053,Andrea Tromp,1,55.4378437367268,9
11054,Britteny Lockman,3,59.6936467988417,550
11055,Antione Bayer,9,71.8751257075928,277
11056,Ezequiel Leffler,1,30.9896916686557,83
11057,Izola Schoen,10,60.155519482214,98
11058,Christena Walter,6,76.8558906600811,356
11059,Angel Greenholt,10,50.3871715115383,444
11060,Keiko Hills,8,24.7987330565229,280
11061,Sonny White,8,83.3404316334054,416
11062,Rubye Botsford,6,86.4971264195628,155
11063,Isaias Zemlak,3,18.5047662607394,20
11064,Tarsha Murray,2,96.9309007539414,465
11065,Meridith Thiel,6,95.7832071115263,179
11066,Sharon Hamill,1,28.3008854254149,386
11067,Coleen Block,8,98.610126960557,263
11068,Donte Hyatt,1,71.0425571748056,198
11069,Donna Halvorson,1,14.8010851326399,186
11070,Angelique Littel,4,53.1688858498819,22
11071,Susannah Swift,9,89.8597447853535,33
11072,Daron Turner,4,35.3739989455789,229
11073,Araceli Ankunding,2,55.9194871084765,314
11074,Whitney Buckridge,1,50.3292053495534,221
11075,Philip Prohaska,7,56.6771829710342,422
11076,Whitley Dickinson,9,46.5436925599352,293
11077,Shantel King,5,82.70337092923,95
11078,Joaquin Cronin,5,81.1394719360396,521
11079,Brittany Schumm,4,92.1834440017119,561
11080,Virgil Stracke,4,26.1984590650536,339
11081,Mitzi Littel,3,94.4064755761065,352
11082,Octavia Keeling,8,65.5753002129495,377
11083,Damon Schroeder,8,27.1209636167623,113
11084,Royce Herzog,1,37.4384638341144,562
11085,Ellis Bauch,1,95.4031655867584,415
11086,Gracia Schultz,4,48.4522765129805,334
11087,Jarrett Prohaska,1,61.2621303787455,540
11088,Agustin Watsica,3,65.1918761292472,398
